epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,349.339,1.04213,0.63659,1.27677,0.9287,0.92784,0.96617,0.65466,1.15637,0.57206,1.47324,0.000581,0.000581,0.000581
45,356.133,1.07891,0.64413,1.29317,0.91684,0.94717,0.96763,0.65774,1.16887,0.57699,1.4933,0.000548,0.000548,0.000548
46,364.397,1.0603,0.64596,1.27512,0.93421,0.95533,0.97031,0.67294,1.15691,0.52528,1.44753,0.000515,0.000515,0.000515
47,372.725,1.03095,0.63031,1.27622,0.93613,0.95698,0.97758,0.68161,1.11126,0.52142,1.44319,0.000482,0.000482,0.000482
48,379.615,1.02231,0.6168,1.27411,0.93062,0.97251,0.98179,0.68226,1.13575,0.50692,1.42813,0.000449,0.000449,0.000449
49,387.799,1.02088,0.62335,1.26709,0.95049,0.96564,0.98565,0.67501,1.15154,0.50743,1.47026,0.000416,0.000416,0.000416
50,395.954,1.00996,0.60683,1.25808,0.944,0.92784,0.96992,0.6765,1.14992,0.54842,1.43237,0.000383,0.000383,0.000383
51,404.788,0.92953,0.4971,1.25748,0.94437,0.9333,0.96917,0.68457,1.10767,0.51755,1.43657,0.00035,0.00035,0.00035
52,411.812,0.89834,0.4494,1.25151,0.93183,0.93943,0.97298,0.6688,1.12538,0.53508,1.43138,0.000317,0.000317,0.000317
53,420.068,0.88109,0.44583,1.2194,0.94273,0.94845,0.9714,0.69324,1.09313,0.5191,1.40012,0.000284,0.000284,0.000284
54,428.49,0.86573,0.42598,1.21371,0.95645,0.93471,0.9764,0.7016,1.09435,0.51719,1.40666,0.000251,0.000251,0.000251
55,435.434,0.84408,0.42569,1.20058,0.93888,0.95011,0.97799,0.69824,1.09504,0.4967,1.40213,0.000218,0.000218,0.000218
56,443.58,0.83951,0.42362,1.20359,0.94208,0.95016,0.96994,0.68733,1.10825,0.49958,1.44653,0.000185,0.000185,0.000185
57,451.968,0.81678,0.40374,1.19367,0.95137,0.94125,0.97176,0.70254,1.08329,0.49579,1.41246,0.000152,0.000152,0.000152
58,460.451,0.80028,0.39234,1.17753,0.94241,0.95595,0.97326,0.70621,1.07113,0.50077,1.39802,0.000119,0.000119,0.000119
59,467.3,0.78541,0.39153,1.17637,0.94279,0.96271,0.97737,0.7054,1.07717,0.49195,1.39752,8.6e-05,8.6e-05,8.6e-05
60,475.574,0.79534,0.38859,1.18763,0.96546,0.94158,0.97936,0.70827,1.07112,0.48772,1.3866,5.3e-05,5.3e-05,5.3e-05
